Order_ID,Order_Date,Customer_ID,Product_Name,Category,Quantity,Unit_Price,Total_Sales
1,2024-10-20,107,Tennis Racket,Sports,4,1921,7684
2,2024-12-11,1386,Tablet,Electronics,3,452,1356
3,2024-07-09,993,Tablet,Electronics,4,1611,6444
4,2024-11-16,902,Sofa,Home & Garden,2,313,626
5,2024-08-22,633,Cricket Bat,Sports,1,580,580
6,2024-05-09,725,Dress,Clothing,1,1930,1930
7,2024-08-23,503,Football,Sports,5,1843,9215
8,2024-11-19,639,Fiction Book,Books,3,217,651
9,2024-04-16,815,Dumbbells,Sports,5,1811,9055
10,2024-12-23,984,Tablet,Electronics,1,816,816
11,2024-04-16,1357,Laptop,Electronics,4,1675,6700
12,2024-09-28,80,T-Shirt,Clothing,1,470,470
13,2024-03-17,473,History Book,Books,5,774,3870
14,2024-08-24,664,History Book,Books,3,768,2304
15,2024-04-08,890,Jacket,Clothing,5,1665,8325
16,2024-07-05,558,Jacket,Clothing,5,110,550
17,2024-06-16,834,Smartwatch,Electronics,2,1055,2110
18,2024-05-13,418,Headphones,Electronics,1,827,827
19,2024-06-13,638,Headphones,Electronics,5,625,3125
20,2024-07-25,1441,History Book,Books,3,1145,3435
21,2024-02-23,1197,Laptop,Electronics,3,1937,5811
22,2024-06-12,310,Fiction Book,Books,5,553,2765
23,2024-07-24,1385,Headphones,Electronics,3,396,1188
24,2024-05-26,1169,Jeans,Clothing,3,80,240
25,2024-07-16,1115,Sofa,Home & Garden,2,723,1446
26,2024-11-22,1144,Sofa,Home & Garden,5,1073,5365
27,2024-07-08,562,Smartwatch,Electronics,2,1382,2764
28,2024-07-14,811,Shoes,Clothing,3,691,2073
29,2024-12-28,319,Cricket Bat,Sports,4,741,2964
30,2024-09-20,1048,Smartwatch,Electronics,2,1094,2188
31,2024-02-04,463,Tablet,Electronics,5,1321,6605
32,2024-09-30,736,History Book,Books,1,873,873
33,2024-04-05,1043,Jeans,Clothing,4,484,1936
34,2024-03-23,1178,Football,Sports,2,202,404
35,2024-04-04,1348,Chair,Home & Garden,5,1819,9095
36,2024-04-12,809,Fiction Book,Books,3,1904,5712
37,2024-10-03,1441,Dumbbells,Sports,2,1817,3634
38,2024-07-11,682,Jacket,Clothing,2,212,424
39,2024-06-06,1333,Cricket Bat,Sports,2,669,1338
40,2024-10-01,1081,Jacket,Clothing,1,824,824
41,2024-07-24,1391,Cookware,Home & Garden,2,877,1754
42,2024-06-22,285,Headphones,Electronics,4,539,2156
43,2024-03-13,1413,Smartwatch,Electronics,2,1125,2250
44,2024-03-23,385,Tablet,Electronics,2,1468,2936
45,2024-01-01,190,T-Shirt,Clothing,3,1998,5994
46,2024-12-01,622,Mixer,Home & Garden,3,1274,3822
47,2024-07-07,1062,Mobile,Electronics,5,22,110
48,2024-07-26,1118,Biography,Books,5,979,4895
49,2024-05-21,662,Science Book,Books,5,226,1130
50,2024-08-19,857,Smartwatch,Electronics,2,1948,3896
51,2024-01-28,1234,Jeans,Clothing,2,1128,2256
52,2024-11-19,1112,Tablet,Electronics,2,159,318
53,2024-08-10,261,Cricket Bat,Sports,5,749,3745
54,2024-12-20,972,Yoga Mat,Sports,3,771,2313
55,2024-05-01,1497,Headphones,Electronics,5,627,3135
56,2024-12-19,1065,Cookware,Home & Garden,3,581,1743
57,2024-08-21,72,Tennis Racket,Sports,1,1229,1229
58,2024-08-20,893,Headphones,Electronics,1,848,848
59,2024-02-01,472,Chair,Home & Garden,4,1289,5156
60,2024-01-14,1369,Sofa,Home & Garden,4,1676,6704
61,2024-05-27,1482,Yoga Mat,Sports,4,1751,7004
62,2024-05-09,1390,Cookware,Home & Garden,1,482,482
63,2024-12-10,543,Jacket,Clothing,1,1265,1265
64,2024-12-22,531,Jeans,Clothing,5,149,745
65,2024-11-29,1422,Tennis Racket,Sports,3,1593,4779
66,2024-08-06,9,Shoes,Clothing,3,1727,5181
67,2024-10-11,84,T-Shirt,Clothing,3,520,1560
68,2024-07-12,788,Football,Sports,2,561,1122
69,2024-11-05,160,Mobile,Electronics,4,1646,6584
70,2024-12-17,278,Tablet,Electronics,2,484,968
71,2024-07-31,24,Cricket Bat,Sports,5,553,2765
72,2024-12-17,1063,Tennis Racket,Sports,1,1612,1612
73,2024-03-14,687,Jeans,Clothing,3,1109,3327
74,2024-03-03,1144,Mobile,Electronics,1,1608,1608
75,2024-05-24,204,History Book,Books,5,1811,9055
76,2024-07-31,371,Mixer,Home & Garden,2,797,1594
77,2024-03-24,144,Jeans,Clothing,4,882,3528
78,2024-03-10,262,Dumbbells,Sports,3,1044,3132
79,2024-09-01,1284,Shoes,Clothing,1,444,444
80,2024-11-02,26,Chair,Home & Garden,3,1832,5496
81,2024-08-12,785,Mobile,Electronics,5,818,4090
82,2024-01-29,330,Jeans,Clothing,3,1976,5928
83,2024-02-05,1113,Biography,Books,3,920,2760
84,2024-01-13,1443,Laptop,Electronics,3,1537,4611
85,2024-08-11,1322,Shoes,Clothing,2,1867,3734
86,2024-07-03,150,Mixer,Home & Garden,5,1048,5240
87,2024-05-01,153,Tennis Racket,Sports,2,1067,2134
88,2024-05-31,274,Jacket,Clothing,2,1203,2406
89,2024-03-06,648,T-Shirt,Clothing,4,1838,7352
90,2024-12-29,16,Dumbbells,Sports,5,1890,9450
91,2024-05-30,6,Dress,Clothing,1,940,940
92,2024-04-03,323,Cookware,Home & Garden,3,1722,5166
93,2024-07-22,1487,Dress,Clothing,5,1772,8860
94,2024-08-29,266,Mobile,Electronics,5,110,550
95,2024-03-04,1386,Laptop,Electronics,4,1031,4124
96,2024-02-09,567,Mixer,Home & Garden,4,1926,7704
97,2024-02-18,938,Jeans,Clothing,2,1487,2974
98,2024-11-11,774,Yoga Mat,Sports,5,1528,7640
99,2024-04-25,1052,Tablet,Electronics,4,1625,6500
100,2024-10-06,1376,Tennis Racket,Sports,4,1667,6668
101,2024-07-31,1259,Jeans,Clothing,4,399,1596
102,2024-03-20,1249,Biography,Books,2,1141,2282
103,2024-10-16,84,T-Shirt,Clothing,4,1079,4316
104,2024-10-24,859,Jacket,Clothing,2,1065,2130
105,2024-10-12,1049,Smartwatch,Electronics,2,1814,3628
106,2024-12-30,528,Sofa,Home & Garden,4,1254,5016
107,2024-08-31,849,Yoga Mat,Sports,5,1345,6725
108,2024-07-29,1284,Shoes,Clothing,4,1037,4148
109,2024-09-24,1411,Tablet,Electronics,1,527,527
110,2024-02-10,627,Sofa,Home & Garden,5,511,2555
111,2024-01-16,80,Jeans,Clothing,4,645,2580
112,2024-03-19,1390,Smartwatch,Electronics,2,1624,3248
113,2024-08-29,292,Headphones,Electronics,4,1895,7580
114,2024-03-25,147,Yoga Mat,Sports,1,1784,1784
115,2024-02-28,593,Science Book,Books,1,761,761
116,2024-10-14,780,Football,Sports,2,1695,3390
117,2024-01-20,219,Fiction Book,Books,3,1960,5880
118,2024-07-26,1443,T-Shirt,Clothing,1,1010,1010
119,2024-04-12,166,Fiction Book,Books,2,1070,2140
120,2024-07-11,297,Biography,Books,2,1660,3320
121,2024-08-20,1494,Tablet,Electronics,5,1886,9430
122,2024-10-31,1119,Tablet,Electronics,3,496,1488
123,2024-04-03,725,Fiction Book,Books,5,1546,7730
124,2024-03-30,1482,Jeans,Clothing,2,1582,3164
125,2024-01-11,504,Yoga Mat,Sports,5,656,3280
126,2024-03-21,996,Fiction Book,Books,3,1359,4077
127,2024-09-28,1005,Tennis Racket,Sports,1,410,410
128,2024-04-26,668,Cookware,Home & Garden,5,1352,6760
129,2024-01-06,1294,Dumbbells,Sports,3,1534,4602
130,2024-06-28,1219,Jeans,Clothing,2,1587,3174
131,2024-05-22,757,Jacket,Clothing,3,793,2379
132,2024-08-17,533,Fiction Book,Books,2,1689,3378
133,2024-02-13,363,T-Shirt,Clothing,4,545,2180
134,2024-06-08,360,Lamp,Home & Garden,2,1982,3964
135,2024-05-06,6,Laptop,Electronics,3,805,2415
136,2024-10-07,584,Dress,Clothing,3,1360,4080
137,2024-12-31,17,Dress,Clothing,5,1458,7290
